GAME_ID,GAME_DATE,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ZONE_BASIC,ACTION_TYPE,SHOT_TYPE,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,LATE_GAME,THREE_POINT_SHOT
22400015,1970-01-01 00:00:00.020241115,1,8,43,1,-10,4,Restricted Area,Running Finger Roll Layup Shot,2PT Field Goal,1,1,0,0
22400015,1970-01-01 00:00:00.020241115,1,1,18,0,0,0,Restricted Area,Tip Layup Shot,2PT Field Goal,1,1,0,0
22400015,1970-01-01 00:00:00.020241115,2,10,53,3,-12,29,Restricted Area,Running Layup Shot,2PT Field Goal,1,1,0,0
22400015,1970-01-01 00:00:00.020241115,2,7,3,25,-185,176,Above the Break 3,Jump Shot,3PT Field Goal,1,1,0,1
22400015,1970-01-01 00:00:00.020241115,3,9,31,2,-11,21,Restricted Area,Running Layup Shot,2PT Field Goal,1,1,0,0
22400015,1970-01-01 00:00:00.020241115,4,0,25,2,-5,20,Restricted Area,Cutting Layup Shot,2PT Field Goal,1,1,1,0
22400026,1970-01-01 00:00:00.020241119,1,10,15,5,-18,57,In The Paint (Non-RA),Cutting Layup Shot,2PT Field Goal,1,1,0,0
22400026,1970-01-01 00:00:00.020241119,1,6,21,1,6,18,Restricted Area,Driving Layup Shot,2PT Field Goal,1,1,0,0
22400026,1970-01-01 00:00:00.020241119,2,9,10,19,-188,58,Mid-Range,Jump Shot,2PT Field Goal,1,1,0,0
22400026,1970-01-01 00:00:00.020241119,2,0,49,3,4,31,Restricted Area,Driving Layup Shot,2PT Field Goal,1,1,0,0
22400026,1970-01-01 00:00:00.020241119,3,8,21,2,-22,19,Restricted Area,Driving Layup Shot,2PT Field Goal,1,1,0,0
22400026,1970-01-01 00:00:00.020241119,3,7,23,28,65,280,Above the Break 3,Jump Shot,3PT Field Goal,1,1,0,1
22400026,1970-01-01 00:00:00.020241119,3,6,27,1,-1,15,Restricted Area,Running Dunk Shot,2PT Field Goal,1,1,0,0
22400026,1970-01-01 00:00:00.020241119,4,3,47,18,83,166,Mid-Range,Fadeaway Jump Shot,2PT Field Goal,1,1,0,0
22400026,1970-01-01 00:00:00.020241119,4,2,59,12,-47,114,In The Paint (Non-RA),Fadeaway Jump Shot,2PT Field Goal,1,1,1,0
22400039,1970-01-01 00:00:00.020241126,1,10,36,23,-205,124,Above the Break 3,Running Pull-Up Jump Shot,3PT Field Goal,1,1,0,1
22400039,1970-01-01 00:00:00.020241126,1,7,20,19,-183,64,Mid-Range,Pullup Jump shot,2PT Field Goal,1,1,0,0
22400039,1970-01-01 00:00:00.020241126,2,8,27,0,2,6,Restricted Area,Driving Dunk Shot,2PT Field Goal,1,1,0,0
22400039,1970-01-01 00:00:00.020241126,2,1,6,12,56,111,In The Paint (Non-RA),Driving Floating Jump Shot,2PT Field Goal,1,1,0,0
22400039,1970-01-01 00:00:00.020241126,3,9,14,3,-11,28,Restricted Area,Putback Dunk Shot,2PT Field Goal,1,1,0,0
22400039,1970-01-01 00:00:00.020241126,3,4,36,18,12,186,Mid-Range,Pullup Jump shot,2PT Field Goal,1,1,0,0
22400039,1970-01-01 00:00:00.020241126,4,7,12,26,147,216,Above the Break 3,Jump Shot,3PT Field Goal,1,1,0,1
22400048,1970-01-01 00:00:00.020241129,1,7,0,5,-29,44,In The Paint (Non-RA),Driving Layup Shot,2PT Field Goal,1,1,0,0
22400048,1970-01-01 00:00:00.020241129,2,1,41,1,6,18,Restricted Area,Driving Finger Roll Layup Shot,2PT Field Goal,1,1,0,0
22400048,1970-01-01 00:00:00.020241129,3,10,39,9,-97,-2,Mid-Range,Turnaround Fadeaway shot,2PT Field Goal,1,1,0,0
22400048,1970-01-01 00:00:00.020241129,3,7,32,0,5,6,Restricted Area,Driving Layup Shot,2PT Field Goal,1,1,0,0
22400048,1970-01-01 00:00:00.020241129,4,8,20,14,-100,100,Mid-Range,Turnaround Fadeaway shot,2PT Field Goal,1,1,0,0
22400062,1970-01-01 00:00:00.020241022,1,8,56,3,16,29,Restricted Area,Running Layup Shot,2PT Field Goal,1,1,0,0
22400062,1970-01-01 00:00:00.020241022,1,8,35,2,1,20,Restricted Area,Running Dunk Shot,2PT Field Goal,1,1,0,0
22400062,1970-01-01 00:00:00.020241022,2,8,33,4,4,47,In The Paint (Non-RA),Running Finger Roll Layup Shot,2PT Field Goal,1,1,0,0
22400062,1970-01-01 00:00:00.020241022,2,2,14,2,-15,16,Restricted Area,Cutting Dunk Shot,2PT Field Goal,1,1,0,0
22400062,1970-01-01 00:00:00.020241022,4,11,34,0,-7,-5,Restricted Area,Driving Layup Shot,2PT Field Goal,1,1,0,0
22400062,1970-01-01 00:00:00.020241022,4,9,11,2,-11,20,Restricted Area,Running Alley Oop Layup Shot,2PT Field Goal,1,1,0,0
22400062,1970-01-01 00:00:00.020241022,4,1,34,25,-110,226,Above the Break 3,Pullup Jump shot,3PT Field Goal,1,1,1,1
22400085,1970-01-01 00:00:00.020241025,1,0,29,2,9,18,Restricted Area,Running Layup Shot,2PT Field Goal,1,1,0,0
22400085,1970-01-01 00:00:00.020241025,2,2,41,2,-10,22,Restricted Area,Driving Layup Shot,2PT Field Goal,1,1,0,0
22400085,1970-01-01 00:00:00.020241025,3,9,47,28,-1,289,Above the Break 3,Pullup Jump shot,3PT Field Goal,1,1,0,1
22400085,1970-01-01 00:00:00.020241025,3,9,20,27,-1,272,Above the Break 3,Pullup Jump shot,3PT Field Goal,1,1,0,1
22400085,1970-01-01 00:00:00.020241025,3,7,21,1,0,16,Restricted Area,Cutting Layup Shot,2PT Field Goal,1,1,0,0
22400085,1970-01-01 00:00:00.020241025,3,2,18,1,9,9,Restricted Area,Driving Layup Shot,2PT Field Goal,1,1,0,0
22400085,1970-01-01 00:00:00.020241025,4,11,14,11,-110,8,Mid-Range,Turnaround Fadeaway shot,2PT Field Goal,1,1,0,0
22400096,1970-01-01 00:00:00.020241026,1,8,10,2,-15,19,Restricted Area,Running Layup Shot,2PT Field Goal,1,1,0,0
22400096,1970-01-01 00:00:00.020241026,2,11,36,14,109,99,Mid-Range,Jump Shot,2PT Field Goal,1,1,0,0
22400096,1970-01-01 00:00:00.020241026,2,9,59,19,11,198,Mid-Range,Step Back Jump shot,2PT Field Goal,1,1,0,0
22400096,1970-01-01 00:00:00.020241026,2,9,27,13,132,30,Mid-Range,Turnaround Fadeaway shot,2PT Field Goal,1,1,0,0
22400096,1970-01-01 00:00:00.020241026,3,3,31,27,-98,257,Above the Break 3,Pullup Jump shot,3PT Field Goal,1,1,0,1
22400096,1970-01-01 00:00:00.020241026,3,1,44,2,-20,17,Restricted Area,Driving Floating Bank Jump Shot,2PT Field Goal,1,1,0,0
22400096,1970-01-01 00:00:00.020241026,4,11,22,28,-15,284,Above the Break 3,Running Jump Shot,3PT Field Goal,1,1,0,1
22400096,1970-01-01 00:00:00.020241026,4,10,49,16,81,148,Mid-Range,Pullup Jump shot,2PT Field Goal,1,1,0,0
