GAME_ID,GAME_DATE,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ZONE_BASIC,ACTION_TYPE,SHOT_TYPE,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,LATE_GAME,THREE_POINT_SHOT
22400015,1970-01-01 00:00:00.020241115,1,10,44,5,56,-1,In The Paint (Non-RA),Turnaround Jump Shot,2PT Field Goal,1,0,0,0
22400015,1970-01-01 00:00:00.020241115,1,8,43,1,-10,4,Restricted Area,Running Finger Roll Layup Shot,2PT Field Goal,1,1,0,0
22400015,1970-01-01 00:00:00.020241115,1,1,18,0,0,0,Restricted Area,Tip Layup Shot,2PT Field Goal,1,1,0,0
22400015,1970-01-01 00:00:00.020241115,2,10,53,3,-12,29,Restricted Area,Running Layup Shot,2PT Field Goal,1,1,0,0
22400015,1970-01-01 00:00:00.020241115,2,8,9,1,11,14,Restricted Area,Running Finger Roll Layup Shot,2PT Field Goal,1,0,0,0
22400015,1970-01-01 00:00:00.020241115,2,7,3,25,-185,176,Above the Break 3,Jump Shot,3PT Field Goal,1,1,0,1
22400015,1970-01-01 00:00:00.020241115,3,9,31,2,-11,21,Restricted Area,Running Layup Shot,2PT Field Goal,1,1,0,0
22400015,1970-01-01 00:00:00.020241115,3,5,17,27,-138,239,Above the Break 3,Step Back Jump shot,3PT Field Goal,1,0,0,1
22400015,1970-01-01 00:00:00.020241115,3,4,22,27,5,274,Above the Break 3,Running Pull-Up Jump Shot,3PT Field Goal,1,0,0,1
22400015,1970-01-01 00:00:00.020241115,3,0,46,28,-130,249,Above the Break 3,Jump Shot,3PT Field Goal,1,0,0,1
22400015,1970-01-01 00:00:00.020241115,4,11,20,13,-135,33,Mid-Range,Turnaround Fadeaway shot,2PT Field Goal,1,0,0,0
22400015,1970-01-01 00:00:00.020241115,4,0,25,2,-5,20,Restricted Area,Cutting Layup Shot,2PT Field Goal,1,1,1,0
22400026,1970-01-01 00:00:00.020241119,1,11,45,2,9,21,Restricted Area,Cutting Layup Shot,2PT Field Goal,1,0,0,0
22400026,1970-01-01 00:00:00.020241119,1,10,15,5,-18,57,In The Paint (Non-RA),Cutting Layup Shot,2PT Field Goal,1,1,0,0
